,Cross section area m2,Embedded Depth (m),Friction angle ϕ (deg),Effective Stress σv' (kPa),Qmax (kN)
122,0.1963495408493621,27.0,33.1,119.4,3095.0
123,0.2827433388230814,27.0,33.1,119.4,5871.0
124,0.2827433388230814,27.0,33.1,119.4,4448.0
125,0.2827433388230814,25.0,33.1,111.9,4982.0
126,0.2827433388230814,25.0,33.1,111.9,5338.0
127,0.1963495408493621,22.0,33.1,100.7,2580.0
128,0.1963495408493621,30.0,33.1,130.6,4386.0
129,0.1256637061435917,16.0,28.9,71.0,490.0
130,0.1256637061435917,20.0,28.9,86.5,726.0
131,0.2827433388230814,30.0,29.8,123.7,6472.0
132,0.2827433388230814,27.0,29.8,112.9,4560.0
133,0.07068583470577035,22.0,29.8,94.2,2354.0
134,0.1256637061435917,22.0,29.8,94.2,2609.0
135,0.1963495408493621,22.0,29.8,94.2,3579.0
136,0.2827433388230814,34.0,29.8,137.7,6276.0
137,0.2827433388230814,34.0,29.8,137.7,4903.0
138,0.2827433388230814,25.0,34.7,107.4,6080.0
139,0.1963495408493621,23.0,34.7,99.9,3373.0
140,0.1963495408493621,23.0,34.7,99.9,2599.0
141,0.07547676350249478,16.5,31.6,134.1,1880.0
142,0.07068583470577035,40.0,28.9,318.5,2844.0
143,0.650388219109427,10.4,33.1,95.5,3020.0
144,0.2827433388230814,27.0,33.1,135.0,5450.0
145,0.1963495408493621,10.0,30.6,55.7,980.0
146,0.1963495408493621,30.0,33.1,147.2,5850.0
147,0.1963495408493621,20.0,32.3,101.5,2750.0
148,0.1963495408493621,10.0,30.6,55.7,1000.0
149,0.132025431267111,45.5,33.0,221.3,3105.0
150,0.07547676350249478,41.8,29.0,196.6,1512.0
151,0.07068583470577035,21.7,35.0,119.6,2130.0
152,0.07068583470577035,19.8,37.0,110.8,1334.0
153,0.07068583470577035,22.9,39.0,125.9,2139.0
154,0.1385442360233099,40.0,32.0,392.4,1920.0
155,0.1661902513749001,13.0,27.0,111.9,2110.0
156,0.1661902513749001,17.7,31.0,158.4,2550.0
157,0.08042477193189872,31.0,24.0,204.5,4200.0
158,0.02544690049407733,14.0,22.0,108.5,270.0
159,0.1256637061435917,38.2,30.0,201.4,5100.0
160,0.1256637061435917,24.8,32.0,135.6,5225.0
161,0.07068583470577035,19.6,32.0,109.1,3000.0
162,0.1017876019763093,36.0,31.1,135.9,2500.0
163,1.474113812880671,8.2,30.0,73.4,4100.0
164,0.04908738521234052,14.5,28.0,58.5,350.0
165,0.04908738521234052,23.5,28.0,87.7,425.0
166,0.04908738521234052,11.5,28.0,56.7,270.0
167,0.07068583470577035,14.5,32.0,118.6,1600.0
168,0.09621127501618741,14.2,32.0,113.7,2200.0
169,0.04908738521234052,18.7,33.0,147.6,1200.0
170,0.7853981633974483,43.0,32.0,146.9,9050.0
171,0.7853981633974483,33.8,33.0,113.6,7280.0
172,0.2827433388230814,38.9,28.0,123.5,6550.0
173,0.2827433388230814,28.0,32.0,171.0,4750.0
174,0.5026548245743669,29.0,32.0,195.2,10800.0
175,0.5026548245743669,38.0,32.0,205.7,9200.0
176,0.5026548245743669,24.6,32.0,179.4,8200.0
177,0.5026548245743669,29.4,32.0,265.4,12000.0
178,0.456036731187748,18.8,37.7,94.4,7340.0
179,0.04337361357362408,12.8,31.9,62.8,450.0
180,0.09621127501618741,6.0,32.2,52.9,1150.0
181,0.07068583470577035,12.1,35.4,74.6,1373.0
182,0.07068583470577035,9.3,36.2,60.5,1079.0
183,0.07068583470577035,8.7,37.7,56.4,2354.0
184,0.0989798035421634,27.0,33.1,97.5,2550.0
185,0.1294618916617818,15.2,37.0,91.3,4119.0
186,0.06379396582195773,11.0,33.1,95.4,1100.0
187,0.06379396582195773,15.0,32.3,82.2,1600.0
188,0.1590431280879833,25.0,33.1,133.2,2860.0
189,0.07068583470577035,10.0,34.3,156.4,3150.0
190,0.07068583470577035,12.0,34.3,102.0,1960.0
191,0.2042820622996763,38.0,35.4,150.6,7250.0
192,0.07306166415004763,11.4,38.4,128.6,1779.0
193,0.07306166415004763,11.2,38.4,127.0,1779.0
194,0.07306166415004763,8.5,38.4,90.8,1245.0
195,0.07306166415004763,8.4,38.4,91.6,1468.0
196,0.07306166415004763,12.5,38.1,137.0,1779.0
197,0.07306166415004763,15.1,40.8,157.3,1601.0
198,0.07306166415004763,34.8,34.7,103.7,2847.0
199,0.07306166415004763,16.5,33.9,57.2,3069.0
200,0.05067074790974977,13.0,30.6,47.0,686.4
201,0.09953822163633899,10.0,34.7,43.9,1716.0
202,0.09953822163633899,16.5,32.4,85.6,1780.0
203,0.09953822163633899,19.4,31.6,73.6,2225.0
204,0.1640296210273937,19.2,31.5,73.1,2225.0
205,0.1640296210273937,15.5,26.2,30.6,1335.0
206,0.04908738521234052,9.3,29.7,75.9,700.0
207,0.07306166415004763,14.7,32.3,123.0,1223.0
208,0.1256637061435917,46.8,31.5,119.0,3200.0
209,0.1256637061435917,48.5,33.1,158.9,3700.0
210,0.2827433388230814,13.4,33.9,131.6,6750.0
211,0.2827433388230814,10.5,32.3,126.3,6950.0
212,0.2827433388230814,13.4,33.9,131.6,5250.0
213,0.1134114947945915,30.6,33.9,149.9,4300.0
214,0.1134114947945915,30.3,33.9,148.3,4600.0
215,0.1134114947945915,30.7,33.9,150.4,4000.0
216,0.05725552611167399,21.5,32.3,105.5,990.0
217,0.2922466566001905,18.0,31.5,68.5,3100.0
218,0.07068583470577035,18.2,36.3,159.3,1960.0
219,0.09621127501618741,17.4,36.3,152.3,2744.0
220,0.09621127501618741,18.6,36.3,162.8,1960.0
221,0.07068583470577035,14.7,36.3,128.6,2744.0
222,0.04908738521234052,16.8,36.3,147.0,1372.0
223,0.07068583470577035,15.0,28.0,94.1,550.0
