,Cross section area m2,Total Pile Length L (m),Undrained Shear Strength Cu (kPa),Qmax (kN)
121,0.07068583470577035,14.7,203.0,2744.0
122,0.04908738521234052,16.8,203.0,1372.0
123,0.07068583470577035,15.0,34.0,550.0
124,0.1256637061435917,21.0,80.0,3200.0
125,0.06157521601035996,25.1,143.0,3726.0
126,0.08295768100885548,25.6,169.0,2550.0
127,0.07068583470577035,15.0,34.0,2224.0
128,0.1256637061435917,19.0,44.0,2500.0
129,0.1640296210273937,22.9,89.5,3700.0
130,0.07306166415004763,8.5,154.0,951.0
131,0.07306166415004763,4.4,154.0,412.0
132,0.09953822163633899,25.0,154.0,1779.0
133,0.04908738521234052,5.5,39.0,400.0
134,0.04908738521234052,11.5,37.0,590.0
135,0.1256637061435917,20.0,163.0,1765.0
136,0.07306166415004763,6.1,73.0,400.0
137,0.1256637061435917,19.5,79.0,1765.2
138,0.09621127501618741,7.4,82.0,1800.0
139,0.09621127501618741,11.6,113.0,2900.0
140,0.1963495408493621,17.5,15.8,700.0
141,0.1963495408493621,17.5,15.8,1241.0
142,0.1963495408493621,7.5,15.8,360.0
143,0.07068583470577035,15.0,34.0,450.0
144,0.07306166415004763,6.4,73.4,405.0
145,0.07306166415004763,6.4,73.4,347.0
146,0.07306166415004763,6.4,73.4,300.0
